Reference,Expediteur,Adresse_destinataire,Action,Contenu,Poids,Date_creation,Statut,Gouvernorat,Prix_Total,lat,lon,Frais_Livraison_TND,Priorite,Mode_Paiement,Type_Client
952897325079,Boutique_A,Zone carrefour el marsa,,Vêtements,0.5,,En attente,Grand Tunis,,36.630959670383966,10.079506831842101,7.75,Express,Paiement à la livraison,B2C
842619805665,Boutique_B,Zone zahrouni,,Chaussures,1.3,,En attente,Grand Tunis,,36.89193768186935,10.123792857555397,8.95,Standard,Paiement à la livraison,B2C
467572401819,Boutique_C,Zone ezzahra,,Accessoires,0.3,,En attente,Grand Tunis,,36.85043550101976,10.225889620496034,7.45,Express,Paiement à la livraison,B2C
815684550792,Boutique_A,Zone jardins d'el menzah 1,,Vêtements,0.5,,En cours,Grand Tunis,,36.63590047370475,9.91879508384335,7.75,Express,Paiement à la livraison,B2C
242654144774,Boutique_B,Zone Kram,,Accessoires,0.3,,Prêt pour livraison,Grand Tunis,,36.7509827803322,10.223136940868464,7.45,Express,Paiement à la livraison,B2C
204177456657,Boutique_C,Zone ezzahra,,Électronique,0.5,,En attente,Grand Tunis,,36.62541696451701,10.10604904440124,7.75,Express,Paiement à la livraison,B2C
481517562548,Boutique_A,Zone carrefour el marsa,,Skin Care,0.5,,En cours,Grand Tunis,,36.7977845733307,10.208029773399304,7.75,Express,Virement,B2C
390894653808,Boutique_B,Zone carrefour el marsa,,Skin Care,0.5,,En attente,Grand Tunis,,36.870615751499685,10.07756394625929,7.75,Express,Virement,B2C
536770384985,Boutique_C,Zone lycée abou kacem chebbi,,Skin Care,0.5,,Prêt pour livraison,Grand Tunis,,36.736562377012355,9.956668593380902,7.75,Express,Paiement à la livraison,B2C
815026653263,Boutique_A,Zone 16 rue 8205 hay khadra,,Accessoires,0.3,,Prêt pour livraison,Grand Tunis,,36.79935860297934,10.120430277731616,7.45,Express,Paiement à la livraison,B2C
642873184880,Boutique_B,Zone 16 rue 8205 hay khadra,,Livres,0.5,,Prêt pour livraison,Grand Tunis,,36.877417985245344,10.037868816641742,7.75,Express,Carte Bancaire,B2C
656593539843,Boutique_C,Zone Jeanne d'arc,,Chaussures,1.3,,En attente,Grand Tunis,,36.69405351941644,10.121403347998315,8.95,Standard,Paiement à la livraison,B2C
616139589950,Boutique_A,Zone ezzahra,,Coffret,2.0,,En attente,Grand Tunis,,36.69787706280917,10.299370075187937,10.0,Basique,Paiement à la livraison,B2C
199841470437,Boutique_B,Zone zahrouni,,Vêtements,0.5,,En attente,Grand Tunis,,36.95659934226164,10.13001797876793,7.75,Express,Paiement à la livraison,B2C
